ville,date_extraction,latitude,longitude,temperature,pressure,humidity,wind_speed,wind_degree,clouds,visibility,main,description
Buenos Aires,2025-06-25,-34.6132,-58.3772,7.98,1014,62,5.14,320,0,10000,Clear,clear sky
Dubaï,2025-06-25,25.2582,55.3047,37.96,993,44,5.66,310,0,10000,Clear,clear sky
Johannesburg,2025-06-25,-26.2023,28.0436,17.14,1016,45,0.89,60,0,10000,Clear,clear sky
Lagos,2025-06-25,6.5833,3.75,29.32,1012,70,3.24,217,100,10000,Clouds,overcast clouds
Londres,2025-06-25,51.5085,-0.1257,25.63,1012,56,2.24,125,100,10000,Clouds,overcast clouds
Los Angeles,2025-06-25,34.0522,-118.2437,16.57,1015,84,1.54,170,100,10000,Clouds,overcast clouds
Melbourne,2025-06-25,28.0836,-80.6081,28.37,1021,79,4.12,60,20,10000,Clouds,few clouds
New York,2025-06-25,40.7143,-74.006,31.55,1017,60,5.14,320,20,10000,Clouds,few clouds
Paris,2025-06-25,48.8534,2.3488,34.32,1011,32,4.63,240,0,10000,Clear,clear sky
Sydney,2025-06-25,-33.8679,151.2073,10.04,1014,61,4.63,220,20,10000,Clouds,few clouds
São Paulo,2025-06-25,-23.5475,-46.6361,9.87,1025,80,4.12,70,75,6000,Clouds,broken clouds
Tokyo,2025-06-25,35.6895,139.6917,26.12,1013,87,3.6,90,75,10000,Clouds,broken clouds
