ville_id,date_id,temperature,pressure,humidity,wind_speed,wind_degree,clouds,visibility,main,description
12,,7.98,1014,62,5.14,320,0,10000,Clear,clear sky
2,,37.96,993,44,5.66,310,0,10000,Clear,clear sky
1,,17.14,1016,45,0.89,60,0,10000,Clear,clear sky
7,,29.32,1012,70,3.24,217,100,10000,Clouds,overcast clouds
9,,25.63,1012,56,2.24,125,100,10000,Clouds,overcast clouds
10,,16.57,1015,84,1.54,170,100,10000,Clouds,overcast clouds
6,,28.37,1021,79,4.12,60,20,10000,Clouds,few clouds
8,,31.55,1017,60,5.14,320,20,10000,Clouds,few clouds
11,,34.32,1011,32,4.63,240,0,10000,Clear,clear sky
4,,10.04,1014,61,4.63,220,20,10000,Clouds,few clouds
3,,9.87,1025,80,4.12,70,75,6000,Clouds,broken clouds
5,,26.12,1013,87,3.6,90,75,10000,Clouds,broken clouds
12,20250626,12.41,1020,34,1.54,0,0,10000,Clear,clear sky
2,20250626,35.96,995,44,3.09,330,6,6000,Clear,clear sky
1,20250626,13.87,1013,42,1.79,231,55,10000,Clouds,broken clouds
7,20250626,26.2,1011,89,3.07,232,100,10000,Clouds,overcast clouds
9,20250626,24.04,1013,43,7.72,260,74,10000,Clouds,broken clouds
10,20250626,18.44,1014,81,2.06,100,100,10000,Haze,haze
6,20250626,29.71,1019,64,3.09,100,0,10000,Clear,clear sky
8,20250626,21.98,1017,68,9.77,60,100,10000,Clouds,overcast clouds
11,20250626,25.68,1018,55,6.69,250,75,10000,Clouds,broken clouds
4,20250626,8.59,1029,65,4.63,320,100,10000,Clouds,overcast clouds
3,20250626,21.05,1018,60,3.09,60,0,10000,Clear,clear sky
5,20250626,25.41,1005,78,5.66,200,75,10000,Clouds,broken clouds
12,,13.29,1022,30,2.57,280,0,10000,Clear,clear sky
2,,35.96,994,52,4.63,280,0,10000,Clear,clear sky
1,,6.9,1023,48,0.0,0,0,10000,Clear,clear sky
7,,27.59,1012,76,3.67,225,89,10000,Clouds,overcast clouds
9,,26.13,1019,54,6.69,220,20,10000,Clouds,few clouds
10,,21.53,1014,75,2.57,100,100,9656,Haze,haze
6,,31.02,1020,71,5.14,90,40,10000,Clouds,scattered clouds
8,,21.5,1024,50,6.69,90,100,10000,Clouds,overcast clouds
11,,27.65,1024,54,4.12,270,40,10000,Clouds,scattered clouds
4,,9.53,1029,80,3.6,310,48,10000,Clouds,scattered clouds
3,,22.07,1020,76,1.54,250,0,10000,Clear,clear sky
5,,26.12,1005,75,3.6,10,75,10000,Clouds,broken clouds
12,,4.63,1030,84,4.12,180,100,10000,Clouds,overcast clouds
2,,36.96,992,56,5.14,290,0,10000,Clear,clear sky
1,,16.02,1024,31,1.03,150,0,10000,Clear,clear sky
7,,28.53,1013,74,4.07,228,97,10000,Rain,moderate rain
9,,26.6,1025,56,1.54,330,30,10000,Clouds,scattered clouds
10,,16.84,1014,88,2.57,270,100,10000,Clouds,overcast clouds
6,,23.63,1020,88,1.54,90,0,10000,Clear,clear sky
8,,26.01,1015,77,4.63,310,0,10000,Clear,clear sky
11,,28.13,1024,56,3.09,40,0,10000,Clear,clear sky
4,,12.49,1025,73,1.03,100,77,10000,Clouds,broken clouds
3,,20.36,1018,70,5.66,350,0,10000,Clear,clear sky
5,,28.0,1010,66,7.2,190,40,10000,Clouds,scattered clouds
