date_extraction,temperature,clouds,pressure,visibility,wind_speed,humidity,wind_degree,ville
2022-01-01,25.3,68,1001.8,,17.2,71,7,Buenos Aires
2022-01-02,25.6,25,1002.7,,9.8,76,36,Buenos Aires
2022-01-03,27.3,26,1004.8,,10.9,71,42,Buenos Aires
2022-01-04,27.2,67,1003.3,,22.1,58,171,Buenos Aires
2022-01-05,20.8,6,1013.0,,23.4,54,124,Buenos Aires
2022-01-06,22.3,2,1014.2,,19.4,58,79,Buenos Aires
2022-01-07,23.8,55,1013.8,,19.0,63,76,Buenos Aires
2022-01-08,24.9,23,1013.1,,21.8,59,74,Buenos Aires
2022-01-09,25.2,5,1012.3,,20.6,58,68,Buenos Aires
2022-01-10,27.2,8,1009.7,,13.8,58,54,Buenos Aires
2022-01-11,30.5,16,1006.8,,13.6,51,7,Buenos Aires
2022-01-12,25.5,6,1011.4,,22.3,56,109,Buenos Aires
2022-01-13,27.7,0,1010.3,,16.5,58,66,Buenos Aires
2022-01-14,32.7,1,1006.8,,19.8,41,16,Buenos Aires
2022-01-15,31.6,31,1004.6,,18.3,51,353,Buenos Aires
2022-01-16,28.1,81,1000.6,,13.1,72,345,Buenos Aires
2022-01-17,23.2,93,1004.9,,25.9,81,137,Buenos Aires
2022-01-18,23.1,98,1012.0,,28.4,86,99,Buenos Aires
2022-01-19,24.0,75,1012.9,,24.0,85,112,Buenos Aires
2022-01-20,25.4,70,1010.9,,21.3,84,95,Buenos Aires
2022-01-21,26.3,69,1006.1,,19.1,87,69,Buenos Aires
2022-01-22,25.8,63,1004.6,,15.1,89,91,Buenos Aires
2022-01-23,24.7,99,1007.8,,7.7,85,149,Buenos Aires
2022-01-24,25.5,74,1008.7,,9.2,82,72,Buenos Aires
2022-01-25,25.9,98,1006.5,,9.0,88,62,Buenos Aires
2022-01-26,23.8,74,1007.9,,21.7,80,145,Buenos Aires
2022-01-27,18.3,21,1017.8,,22.3,62,148,Buenos Aires
2022-01-28,19.9,28,1014.7,,10.4,69,98,Buenos Aires
2022-01-29,23.1,24,1011.1,,12.7,72,36,Buenos Aires
2022-01-30,24.6,11,1006.8,,17.8,67,4,Buenos Aires
2022-01-31,21.7,14,1008.5,,17.7,55,161,Buenos Aires
2022-02-01,22.3,0,1009.5,,16.3,59,27,Buenos Aires
2022-02-02,25.7,60,1008.0,,13.7,66,39,Buenos Aires
2022-02-03,23.1,86,1006.7,,11.8,85,95,Buenos Aires
2022-02-04,22.7,64,1005.2,,10.4,83,130,Buenos Aires
2022-02-05,19.8,53,1006.3,,20.9,81,214,Buenos Aires
2022-02-06,17.4,47,1012.7,,23.8,69,228,Buenos Aires
2022-02-07,19.1,29,1015.5,,16.2,69,168,Buenos Aires
2022-02-08,19.7,11,1015.2,,11.3,70,84,Buenos Aires
2022-02-09,21.6,6,1012.1,,14.9,74,62,Buenos Aires
2022-02-10,23.7,0,1007.9,,17.0,67,50,Buenos Aires
2022-02-11,22.3,74,1010.3,,19.6,72,132,Buenos Aires
2022-02-12,17.5,64,1016.1,,23.2,69,172,Buenos Aires
2022-02-13,18.6,10,1012.0,,12.7,57,236,Buenos Aires
2022-02-14,22.4,0,1008.7,,11.8,60,306,Buenos Aires
2022-02-15,25.1,0,1009.8,,18.0,59,5,Buenos Aires
2022-02-16,26.8,19,1009.9,,15.2,60,20,Buenos Aires
2022-02-17,20.9,19,1014.0,,25.8,66,126,Buenos Aires
2022-02-18,20.7,21,1011.3,,18.4,69,114,Buenos Aires
