time,weather_code (wmo code),temperature_2m_mean (°C),cloud_cover_mean (%),surface_pressure_mean (hPa),visibility_mean (undefined),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°)
2022-01-01,63,25.3,68,1001.8,NaN,17.2,71,7
2022-01-02,3,25.6,25,1002.7,NaN,9.8,76,36
2022-01-03,3,27.3,26,1004.8,NaN,10.9,71,42
2022-01-04,65,27.2,67,1003.3,NaN,22.1,58,171
2022-01-05,2,20.8,6,1013.0,NaN,23.4,54,124
2022-01-06,2,22.3,2,1014.2,NaN,19.4,58,79
2022-01-07,3,23.8,55,1013.8,NaN,19.0,63,76
2022-01-08,3,24.9,23,1013.1,NaN,21.8,59,74
2022-01-09,3,25.2,5,1012.3,NaN,20.6,58,68
2022-01-10,2,27.2,8,1009.7,NaN,13.8,58,54
2022-01-11,2,30.5,16,1006.8,NaN,13.6,51,7
2022-01-12,3,25.5,6,1011.4,NaN,22.3,56,109
2022-01-13,0,27.7,0,1010.3,NaN,16.5,58,66
2022-01-14,0,32.7,1,1006.8,NaN,19.8,41,16
2022-01-15,63,31.6,31,1004.6,NaN,18.3,51,353
2022-01-16,65,28.1,81,1000.6,NaN,13.1,72,345
2022-01-17,61,23.2,93,1004.9,NaN,25.9,81,137
2022-01-18,63,23.1,98,1012.0,NaN,28.4,86,99
2022-01-19,63,24.0,75,1012.9,NaN,24.0,85,112
2022-01-20,53,25.4,70,1010.9,NaN,21.3,84,95
2022-01-21,61,26.3,69,1006.1,NaN,19.1,87,69
2022-01-22,63,25.8,63,1004.6,NaN,15.1,89,91
2022-01-23,51,24.7,99,1007.8,NaN,7.7,85,149
2022-01-24,3,25.5,74,1008.7,NaN,9.2,82,72
2022-01-25,55,25.9,98,1006.5,NaN,9.0,88,62
2022-01-26,61,23.8,74,1007.9,NaN,21.7,80,145
2022-01-27,3,18.3,21,1017.8,NaN,22.3,62,148
2022-01-28,3,19.9,28,1014.7,NaN,10.4,69,98
2022-01-29,3,23.1,24,1011.1,NaN,12.7,72,36
2022-01-30,2,24.6,11,1006.8,NaN,17.8,67,4
2022-01-31,51,21.7,14,1008.5,NaN,17.7,55,161
2022-02-01,0,22.3,0,1009.5,NaN,16.3,59,27
2022-02-02,3,25.7,60,1008.0,NaN,13.7,66,39
2022-02-03,63,23.1,86,1006.7,NaN,11.8,85,95
2022-02-04,3,22.7,64,1005.2,NaN,10.4,83,130
2022-02-05,63,19.8,53,1006.3,NaN,20.9,81,214
2022-02-06,51,17.4,47,1012.7,NaN,23.8,69,228
2022-02-07,3,19.1,29,1015.5,NaN,16.2,69,168
2022-02-08,2,19.7,11,1015.2,NaN,11.3,70,84
2022-02-09,1,21.6,6,1012.1,NaN,14.9,74,62
2022-02-10,0,23.7,0,1007.9,NaN,17.0,67,50
2022-02-11,53,22.3,74,1010.3,NaN,19.6,72,132
2022-02-12,61,17.5,64,1016.1,NaN,23.2,69,172
2022-02-13,3,18.6,10,1012.0,NaN,12.7,57,236
2022-02-14,0,22.4,0,1008.7,NaN,11.8,60,306
2022-02-15,0,25.1,0,1009.8,NaN,18.0,59,5
2022-02-16,51,26.8,19,1009.9,NaN,15.2,60,20
2022-02-17,51,20.9,19,1014.0,NaN,25.8,66,126
2022-02-18,3,20.7,21,1011.3,NaN,18.4,69,114
2022-02-19,3,23.0,35,1006.7,NaN,17.0,77,84
2022-02-20,63,21.0,81,1004.8,NaN,18.5,87,135
2022-02-21,3,20.5,12,1011.6,NaN,17.9,73,190
2022-02-22,51,20.6,61,1015.6,NaN,12.4,77,179
2022-02-23,3,21.2,18,1013.2,NaN,15.6,84,97
2022-02-24,63,21.7,70,1008.8,NaN,17.2,87,49
2022-02-25,3,21.2,31,1012.5,NaN,8.3,76,36
2022-02-26,65,24.7,62,1009.9,NaN,14.4,82,34
2022-02-27,65,24.2,90,1004.4,NaN,13.3,90,317
2022-02-28,3,22.1,35,1008.1,NaN,15.2,72,223
2022-03-01,0,20.6,1,1011.1,NaN,18.3,66,4
2022-03-02,0,22.9,2,1007.7,NaN,19.2,63,285
2022-03-03,3,22.1,30,1010.4,NaN,21.1,74,93
2022-03-04,55,23.6,27,1008.3,NaN,12.5,83,19
2022-03-05,61,22.6,70,1006.9,NaN,14.6,91,109
2022-03-06,63,22.7,45,1006.4,NaN,17.9,87,105
2022-03-07,65,21.9,37,1004.5,NaN,19.9,77,260
2022-03-08,0,20.7,0,1011.3,NaN,11.3,63,247
2022-03-09,63,19.8,89,1011.8,NaN,12.4,85,33
2022-03-10,3,19.4,42,1012.1,NaN,14.3,74,159
2022-03-11,1,18.6,3,1015.3,NaN,13.6,68,212
2022-03-12,0,17.5,0,1016.7,NaN,6.7,71,103
2022-03-13,0,19.1,0,1016.5,NaN,6.7,74,57
2022-03-14,3,20.7,20,1012.6,NaN,12.1,71,347
2022-03-15,2,22.9,15,1012.3,NaN,14.1,71,340
2022-03-16,0,23.3,1,1010.8,NaN,13.6,71,6
2022-03-17,51,23.9,76,1006.4,NaN,10.9,82,19
2022-03-18,63,17.0,69,1014.8,NaN,25.3,77,164
2022-03-19,3,14.4,31,1022.1,NaN,11.1,63,158
2022-03-20,51,16.9,38,1023.3,NaN,17.8,69,87
