time,weather_code (wmo code),temperature_2m_mean (°C),cloud_cover_mean (%),surface_pressure_mean (hPa),visibility_mean (undefined),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°)
2022-01-01,65,20.5,67,1015.3,NaN,8.4,82,98
2022-01-02,61,21.4,79,1010.0,NaN,20.6,77,156
2022-01-03,65,22.1,50,1008.5,NaN,18.3,78,233
2022-01-04,51,20.4,61,1011.9,NaN,20.6,67,279
2022-01-05,51,19.5,58,1012.6,NaN,24.3,63,276
2022-01-06,3,19.2,25,1012.5,NaN,22.0,59,302
2022-01-07,3,16.9,17,1015.3,NaN,10.2,61,105
2022-01-08,2,16.7,5,1015.7,NaN,9.9,61,126
2022-01-09,3,17.6,18,1015.1,NaN,11.6,67,208
2022-01-10,2,18.1,10,1014.9,NaN,10.6,70,50
2022-01-11,1,18.1,2,1016.0,NaN,10.3,65,42
2022-01-12,0,18.8,1,1015.2,NaN,8.5,63,272
2022-01-13,1,19.6,6,1014.2,NaN,8.7,77,338
2022-01-14,3,19.5,9,1012.3,NaN,9.1,74,151
2022-01-15,3,21.5,81,1010.5,NaN,17.9,52,173
2022-01-16,61,20.7,81,1009.8,NaN,19.9,61,172
2022-01-17,61,21.7,23,1012.0,NaN,18.3,71,167
2022-01-18,3,22.1,26,1012.7,NaN,18.2,79,185
2022-01-19,3,21.1,48,1013.9,NaN,9.1,85,337
2022-01-20,3,21.1,41,1013.1,NaN,16.1,70,287
2022-01-21,2,18.1,30,1015.0,NaN,38.3,58,293
2022-01-22,3,17.6,35,1015.5,NaN,11.5,59,291
2022-01-23,1,16.7,19,1014.8,NaN,13.4,67,257
2022-01-24,1,17.5,10,1014.3,NaN,8.7,67,305
2022-01-25,1,18.8,7,1013.8,NaN,9.9,74,279
2022-01-26,3,18.2,25,1013.6,NaN,8.6,77,29
2022-01-27,0,19.1,0,1013.2,NaN,11.0,69,183
2022-01-28,0,18.9,0,1014.2,NaN,13.8,73,264
2022-01-29,0,19.0,0,1015.3,NaN,11.6,74,275
2022-01-30,0,18.9,0,1013.8,NaN,13.0,75,260
2022-01-31,0,19.4,0,1012.4,NaN,10.9,75,241
2022-02-01,0,19.0,0,1011.7,NaN,9.1,81,246
2022-02-02,1,19.4,8,1014.4,NaN,14.5,77,282
2022-02-03,0,18.7,0,1014.6,NaN,13.1,69,26
2022-02-04,2,19.3,2,1010.6,NaN,9.4,70,328
2022-02-05,0,19.9,0,1007.4,NaN,13.8,66,228
2022-02-06,1,20.2,1,1011.5,NaN,25.0,59,286
2022-02-07,1,19.1,6,1013.5,NaN,26.3,58,280
2022-02-08,0,19.3,6,1013.8,NaN,21.4,60,274
2022-02-09,1,18.6,5,1014.4,NaN,11.6,67,250
2022-02-10,0,18.6,0,1014.8,NaN,8.9,69,28
2022-02-11,0,19.8,0,1013.8,NaN,8.2,65,30
2022-02-12,1,21.0,2,1011.8,NaN,12.1,51,353
2022-02-13,3,19.2,33,1009.8,NaN,19.1,63,273
2022-02-14,3,18.2,19,1010.6,NaN,10.9,60,340
2022-02-15,0,20.8,0,1011.6,NaN,10.5,65,8
2022-02-16,0,20.4,0,1009.7,NaN,11.6,67,310
2022-02-17,0,18.8,0,1008.8,NaN,14.0,69,260
2022-02-18,0,18.8,0,1010.1,NaN,10.9,73,229
2022-02-19,0,19.9,0,1011.9,NaN,9.4,65,43
2022-02-20,0,22.8,0,1010.6,NaN,12.8,49,167
2022-02-21,3,20.8,7,1009.8,NaN,21.1,56,266
2022-02-22,3,20.4,29,1010.8,NaN,20.4,63,275
2022-02-23,1,19.3,3,1012.3,NaN,10.5,78,270
2022-02-24,3,19.5,34,1013.7,NaN,9.0,81,260
2022-02-25,3,19.7,34,1012.5,NaN,7.3,78,5
2022-02-26,3,22.0,27,1010.5,NaN,9.4,59,18
