time,weather_code (wmo code),temperature_2m_mean (°C),cloud_cover_mean (%),surface_pressure_mean (hPa),visibility_mean (undefined),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°)
2022-01-01,53,27.8,86,1009.9,NaN,10.1,78,200
2022-01-02,51,27.6,76,1009.0,NaN,9.7,81,199
2022-01-03,3,27.8,79,1009.1,NaN,11.5,74,216
2022-01-04,3,27.3,99,1010.0,NaN,10.7,68,107
2022-01-05,3,27.7,84,1009.7,NaN,8.4,72,167
2022-01-06,3,27.3,28,1008.7,NaN,9.4,69,204
2022-01-07,1,27.9,12,1009.1,NaN,12.3,79,221
2022-01-08,61,28.0,28,1009.0,NaN,11.9,79,218
2022-01-09,51,28.0,88,1008.6,NaN,11.3,80,220
2022-01-10,3,27.5,76,1007.8,NaN,11.1,81,215
2022-01-11,51,27.9,73,1008.3,NaN,12.3,79,219
2022-01-12,51,28.1,89,1009.7,NaN,13.2,82,227
2022-01-13,63,26.5,93,1011.4,NaN,13.4,86,218
2022-01-14,51,27.1,96,1011.5,NaN,10.4,86,214
2022-01-15,51,27.5,91,1010.3,NaN,12.9,85,229
2022-01-16,51,27.5,98,1011.0,NaN,12.2,83,226
2022-01-17,51,26.8,64,1011.8,NaN,10.4,82,232
2022-01-18,51,27.2,82,1012.0,NaN,11.1,79,198
2022-01-19,51,27.1,70,1011.3,NaN,9.6,73,154
2022-01-20,3,26.5,97,1010.6,NaN,9.8,54,45
2022-01-21,3,26.3,49,1010.3,NaN,9.5,58,98
2022-01-22,1,26.8,2,1010.2,NaN,11.0,63,154
2022-01-23,1,27.0,5,1009.9,NaN,11.8,69,219
2022-01-24,3,26.9,26,1009.0,NaN,10.6,80,227
2022-01-25,3,27.3,13,1008.2,NaN,9.9,67,213
2022-01-26,3,26.2,5,1008.4,NaN,10.2,63,110
2022-01-27,3,26.6,28,1009.2,NaN,9.7,79,195
2022-01-28,3,27.2,78,1009.1,NaN,11.6,80,174
2022-01-29,3,27.1,78,1009.2,NaN,9.8,67,168
2022-01-30,3,25.8,77,1009.7,NaN,9.2,61,283
2022-01-31,3,26.0,47,1008.9,NaN,11.3,51,132
2022-02-01,3,26.1,51,1009.3,NaN,10.4,55,227
2022-02-02,3,26.4,20,1009.6,NaN,11.5,65,222
2022-02-03,51,26.9,48,1010.6,NaN,11.8,79,201
2022-02-04,51,27.2,12,1010.6,NaN,11.5,82,198
2022-02-05,61,27.3,24,1009.8,NaN,11.7,81,198
2022-02-06,3,27.1,12,1009.5,NaN,10.3,81,185
2022-02-07,3,27.3,37,1009.2,NaN,10.6,82,206
2022-02-08,51,27.8,40,1009.2,NaN,12.3,79,223
2022-02-09,51,28.0,43,1009.0,NaN,12.2,80,222
2022-02-10,51,27.8,47,1008.1,NaN,12.4,82,222
2022-02-11,51,27.8,47,1007.2,NaN,12.2,83,224
2022-02-12,51,27.4,72,1008.2,NaN,11.3,83,221
2022-02-13,61,28.0,51,1008.9,NaN,13.2,81,231
2022-02-14,53,28.2,64,1008.6,NaN,15.0,82,234
2022-02-15,51,28.4,43,1008.9,NaN,14.5,82,231
2022-02-16,53,28.0,57,1009.1,NaN,15.7,82,224
2022-02-17,53,27.7,79,1007.8,NaN,14.2,82,222
