time,weather_code (wmo code),temperature_2m_mean (°C),cloud_cover_mean (%),surface_pressure_mean (hPa),visibility_mean (undefined),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°)
2022-01-01,63,21.0,82,927.1,NaN,10.8,86,332
2022-01-02,63,22.3,85,929.1,NaN,6.4,84,352
2022-01-03,65,22.2,80,928.3,NaN,8.3,88,53
2022-01-04,63,22.5,94,926.0,NaN,12.9,86,355
2022-01-05,61,22.2,99,924.7,NaN,17.7,87,326
2022-01-06,63,21.2,90,926.5,NaN,15.1,90,236
2022-01-07,61,19.5,99,928.9,NaN,17.6,92,156
2022-01-08,61,18.9,98,929.9,NaN,18.4,91,141
2022-01-09,53,18.3,99,930.5,NaN,16.4,91,135
2022-01-10,51,19.4,100,928.0,NaN,7.1,88,126
2022-01-11,61,20.6,98,928.2,NaN,6.7,88,112
2022-01-12,61,21.2,81,930.5,NaN,7.8,88,25
2022-01-13,65,22.0,92,934.3,NaN,8.8,89,112
2022-01-14,63,22.8,100,936.8,NaN,7.7,90,100
2022-01-15,63,23.0,98,935.7,NaN,7.5,89,88
2022-01-16,63,22.8,49,932.3,NaN,8.0,82,331
2022-01-17,51,23.2,44,931.6,NaN,10.2,78,324
2022-01-18,63,23.6,38,933.1,NaN,7.6,79,352
2022-01-19,51,23.8,51,934.4,NaN,6.1,80,83
2022-01-20,51,23.6,59,933.7,NaN,5.9,81,96
2022-01-21,51,22.7,47,932.4,NaN,8.3,82,130
2022-01-22,51,22.4,45,931.8,NaN,8.6,84,132
2022-01-23,3,24.1,82,931.1,NaN,8.3,82,123
2022-01-24,55,24.0,67,930.5,NaN,8.6,83,133
2022-01-25,61,23.8,64,930.3,NaN,7.8,82,87
2022-01-26,51,24.0,62,929.3,NaN,10.7,79,350
2022-01-27,51,24.0,66,928.4,NaN,16.0,75,318
2022-01-28,63,21.1,100,927.5,NaN,12.4,88,258
2022-01-29,65,19.8,100,927.6,NaN,9.1,92,259
2022-01-30,63,20.7,100,928.4,NaN,11.5,90,327
2022-01-31,63,20.8,100,928.3,NaN,16.3,90,327
2022-02-01,63,21.6,91,930.3,NaN,11.6,87,299
2022-02-02,63,21.3,100,932.3,NaN,7.0,89,96
2022-02-03,65,21.8,96,931.7,NaN,7.9,87,57
2022-02-04,63,22.8,87,930.0,NaN,12.5,82,318
2022-02-05,53,23.6,92,928.7,NaN,12.2,82,317
2022-02-06,63,23.0,100,929.0,NaN,13.9,85,308
2022-02-07,55,20.8,95,929.9,NaN,14.6,91,164
2022-02-08,53,20.3,71,930.2,NaN,13.0,86,122
2022-02-09,3,19.3,34,930.3,NaN,13.3,83,124
2022-02-10,51,19.4,65,930.4,NaN,11.9,84,126
2022-02-11,55,19.8,44,930.7,NaN,12.7,85,123
2022-02-12,53,20.3,78,930.8,NaN,11.6,87,124
2022-02-13,51,21.5,52,929.4,NaN,8.8,84,105
2022-02-14,53,23.1,54,929.3,NaN,7.8,80,184
2022-02-15,63,21.5,70,931.8,NaN,10.5,87,139
2022-02-16,51,20.7,53,932.4,NaN,9.9,84,122
2022-02-17,63,20.2,70,930.2,NaN,8.5,87,91
2022-02-18,63,19.6,87,927.8,NaN,8.4,88,151
2022-02-19,61,20.3,78,928.7,NaN,8.1,86,99
2022-02-20,61,22.0,42,931.3,NaN,9.0,79,358
2022-02-21,51,23.0,12,932.7,NaN,7.1,76,32
2022-02-22,1,23.3,8,932.4,NaN,6.6,76,113
2022-02-23,65,23.0,45,931.3,NaN,8.1,81,141
2022-02-24,51,22.3,42,932.8,NaN,8.1,85,119
2022-02-25,3,22.8,67,934.6,NaN,11.2,83,98
2022-02-26,3,21.9,59,934.2,NaN,9.3,81,112
2022-02-27,51,22.8,54,932.4,NaN,8.8,84,106
2022-02-28,3,24.8,45,930.9,NaN,9.2,73,9
2022-03-01,65,24.4,84,931.1,NaN,10.6,73,341
2022-03-02,51,23.5,34,931.6,NaN,9.4,79,14
2022-03-03,51,23.8,78,931.7,NaN,7.0,78,88
2022-03-04,63,22.9,96,932.4,NaN,6.4,84,130
2022-03-05,53,23.7,44,931.4,NaN,6.6,80,64
2022-03-06,63,23.6,44,931.1,NaN,7.9,80,1
2022-03-07,55,24.2,36,930.8,NaN,5.7,78,36
2022-03-08,3,24.0,64,931.6,NaN,8.3,79,107
2022-03-09,53,23.4,64,932.0,NaN,7.3,83,101
2022-03-10,51,24.4,73,930.8,NaN,8.0,73,10
2022-03-11,53,23.4,86,930.1,NaN,12.2,77,318
2022-03-12,63,21.7,100,931.1,NaN,10.0,87,282
2022-03-13,53,22.2,98,932.0,NaN,9.5,86,246
2022-03-14,63,21.8,99,930.0,NaN,7.3,89,89
2022-03-15,65,21.5,100,930.3,NaN,6.2,91,185
2022-03-16,63,22.4,77,931.1,NaN,8.0,87,48
2022-03-17,61,23.8,72,931.9,NaN,9.9,82,350
2022-03-18,61,24.2,43,932.5,NaN,7.2,79,330
2022-03-19,65,23.3,82,932.0,NaN,9.9,83,206
2022-03-20,61,19.2,100,934.5,NaN,19.8,90,160
2022-03-21,51,18.1,76,936.2,NaN,19.6,85,113
2022-03-22,2,18.4,18,935.4,NaN,16.5,82,104
2022-03-23,51,20.9,32,933.2,NaN,11.1,79,59
2022-03-24,3,23.2,28,930.9,NaN,13.2,73,346
2022-03-25,51,24.4,79,929.4,NaN,14.2,70,323
2022-03-26,51,23.4,78,929.3,NaN,10.5,81,316
2022-03-27,63,22.0,92,931.8,NaN,6.9,86,350
2022-03-28,61,20.8,94,934.0,NaN,10.1,90,131
2022-03-29,53,21.3,78,932.6,NaN,8.7,89,124
2022-03-30,51,22.8,73,930.0,NaN,10.1,81,313
2022-03-31,61,19.7,97,932.4,NaN,13.8,89,167
2022-04-01,53,17.7,100,935.9,NaN,16.1,91,134
2022-04-02,51,18.8,98,936.5,NaN,16.3,91,137
2022-04-03,55,20.9,75,935.0,NaN,14.2,87,97
2022-04-04,53,23.3,85,933.1,NaN,11.1,81,1
2022-04-05,61,21.3,99,933.4,NaN,8.9,92,157
2022-04-06,51,20.0,83,933.5,NaN,8.9,87,138
2022-04-07,51,19.5,88,932.8,NaN,10.9,87,115
2022-04-08,63,21.7,90,932.0,NaN,9.8,83,351
2022-04-09,51,22.0,83,931.2,NaN,9.2,86,286
2022-04-10,3,20.5,90,931.0,NaN,7.1,87,128
2022-04-11,3,21.0,86,930.6,NaN,9.1,84,95
2022-04-12,65,22.1,89,929.4,NaN,9.7,83,350
2022-04-13,53,21.8,90,929.2,NaN,11.2,84,275
2022-04-14,61,19.6,95,929.5,NaN,12.4,88,184
2022-04-15,51,15.9,64,931.9,NaN,15.2,79,162
2022-04-16,51,15.6,52,933.9,NaN,8.6,82,156
2022-04-17,51,15.8,75,934.9,NaN,10.4,88,128
2022-04-18,51,16.2,52,934.7,NaN,11.4,86,114
2022-04-19,3,17.3,33,934.3,NaN,9.2,86,116
2022-04-20,3,18.1,61,934.5,NaN,8.8,87,123
2022-04-21,3,18.7,59,931.9,NaN,7.7,82,83
2022-04-22,51,19.3,40,928.1,NaN,7.8,75,331
2022-04-23,3,21.9,46,928.0,NaN,22.0,60,316
