latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-26.186293,28.026318,1749.0,7200,Africa/Johannesburg,GMT+2

time,weather_code (wmo code),temperature_2m_mean (°C),cloud_cover_mean (%),surface_pressure_mean (hPa),visibility_mean (undefined),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°)
2022-01-01,3,18.7,46,830.4,NaN,17.9,73,329
2022-01-02,51,20.0,32,830.1,NaN,10.8,66,326
2022-01-03,3,19.2,39,830.0,NaN,13.5,67,339
2022-01-04,53,18.8,44,830.3,NaN,11.8,72,1
2022-01-05,63,19.5,38,830.9,NaN,9.8,69,315
2022-01-06,65,17.7,82,831.7,NaN,10.1,78,60
2022-01-07,63,17.8,73,832.1,NaN,9.2,81,27
2022-01-08,63,17.1,63,833.1,NaN,9.0,85,41
2022-01-09,61,17.2,45,831.5,NaN,8.9,77,35
2022-01-10,51,17.8,26,828.8,NaN,11.4,69,345
2022-01-11,63,18.3,57,828.8,NaN,7.6,77,266
2022-01-12,63,18.2,86,831.1,NaN,8.2,82,87
2022-01-13,63,18.3,59,832.5,NaN,9.1,81,80
2022-01-14,61,18.5,83,832.3,NaN,10.4,78,62
2022-01-15,63,17.5,95,830.9,NaN,10.0,85,38
2022-01-16,63,16.7,94,829.5,NaN,11.0,86,350
2022-01-17,55,16.4,79,830.0,NaN,8.1,89,11
2022-01-18,51,17.1,74,831.3,NaN,8.6,84,357
2022-01-19,61,18.0,74,832.0,NaN,7.7,82,148
2022-01-20,51,17.7,35,833.1,NaN,10.2,73,117
2022-01-21,0,18.1,1,833.4,NaN,13.4,59,119
2022-01-22,51,15.6,79,835.8,NaN,16.1,65,104
2022-01-23,3,15.2,41,835.7,NaN,15.4,63,100
2022-01-24,1,17.4,16,833.1,NaN,8.5,64,157
2022-01-25,3,20.2,42,831.4,NaN,11.0,56,133
2022-01-26,51,19.2,73,831.2,NaN,11.2,64,84
2022-01-27,53,18.7,95,830.6,NaN,9.7,74,64
2022-01-28,63,18.6,82,829.2,NaN,11.8,82,10
2022-01-29,61,17.2,86,830.5,NaN,12.7,85,72
2022-01-30,55,15.7,94,830.9,NaN,10.4,93,65
2022-01-31,51,17.5,86,830.5,NaN,11.9,78,23
2022-02-01,3,18.0,57,830.2,NaN,12.0,70,9
2022-02-02,3,19.2,11,829.8,NaN,11.3,68,352
2022-02-03,51,20.7,13,830.0,NaN,11.0,69,313
2022-02-04,65,18.5,72,830.8,NaN,9.8,84,137
2022-02-05,63,16.5,87,832.1,NaN,16.2,82,112
2022-02-06,53,17.2,37,832.9,NaN,17.0,69,109
2022-02-07,51,17.6,17,831.8,NaN,10.2,69,127
2022-02-08,63,17.6,30,829.8,NaN,8.7,76,196
2022-02-09,51,18.6,21,828.8,NaN,7.1,69,237
2022-02-10,61,19.1,23,830.0,NaN,6.7,62,140
2022-02-11,61,19.4,18,831.4,NaN,8.4,64,81
2022-02-12,3,19.6,19,832.8,NaN,10.3,43,24
2022-02-13,3,19.8,70,831.3,NaN,5.9,49,340
2022-02-14,51,20.3,67,831.6,NaN,12.4,56,90
2022-02-15,3,19.4,30,834.2,NaN,10.0,64,71
2022-02-16,53,19.5,34,833.0,NaN,8.2,69,274
2022-02-17,51,19.2,38,830.9,NaN,6.3,74,99
2022-02-18,51,17.5,58,831.3,NaN,9.2,82,19
2022-02-19,63,17.8,69,831.1,NaN,11.4,83,326
2022-02-20,51,19.3,19,829.8,NaN,9.6,67,215
2022-02-21,1,20.3,20,829.7,NaN,9.5,53,196
2022-02-22,61,18.8,14,830.2,NaN,7.9,62,31
2022-02-23,63,17.8,34,831.9,NaN,9.0,79,49
2022-02-24,51,19.3,12,831.1,NaN,10.0,61,68
2022-02-25,63,18.4,32,831.0,NaN,10.7,68,5
2022-02-26,61,18.5,24,832.0,NaN,11.0,70,358
2022-02-27,65,17.4,41,831.6,NaN,10.8,80,321
2022-02-28,61,17.8,55,830.8,NaN,9.6,79,323
2022-03-01,53,18.1,25,829.4,NaN,7.6,75,294
2022-03-02,51,17.9,43,829.5,NaN,9.2,80,343
2022-03-03,53,19.2,25,829.7,NaN,8.3,74,353
2022-03-04,51,19.3,65,829.6,NaN,12.1,73,343
2022-03-05,63,17.3,91,831.4,NaN,10.6,88,102
2022-03-06,51,16.8,31,831.8,NaN,12.1,73,57
2022-03-07,51,17.8,17,830.8,NaN,9.8,72,360
2022-03-08,53,18.2,77,830.6,NaN,10.3,73,166
2022-03-09,61,15.8,100,830.8,NaN,9.4,92,97
2022-03-10,61,17.3,68,831.7,NaN,6.1,87,135
2022-03-11,53,18.4,41,833.3,NaN,11.3,76,81
2022-03-12,51,18.0,38,831.2,NaN,6.7,73,65
2022-03-13,51,17.7,18,827.9,NaN,9.7,69,328
2022-03-14,61,17.1,67,827.3,NaN,12.0,77,318
2022-03-15,55,16.6,62,828.3,NaN,8.2,80,186
2022-03-16,61,14.3,82,829.1,NaN,11.2,87,72
2022-03-17,63,14.8,93,832.2,NaN,14.1,79,82
