latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.493847,-0.1630249,23.0,3600,Europe/London,GMT+1

time,weather_code (wmo code),temperature_2m_mean (°C),cloud_cover_mean (%),surface_pressure_mean (hPa),visibility_mean (undefined),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°)
2022-01-01,51,12.9,97,1015.0,NaN,21.0,86,207
2022-01-02,55,11.1,67,1007.7,NaN,23.6,87,228
2022-01-03,3,8.7,67,1005.5,NaN,18.6,86,231
2022-01-04,53,4.7,73,998.4,NaN,12.6,89,296
2022-01-05,0,2.1,2,1010.1,NaN,15.8,80,283
2022-01-06,53,1.4,67,1014.0,NaN,15.7,89,212
2022-01-07,51,3.8,56,1007.4,NaN,18.9,85,249
2022-01-08,61,5.7,88,999.2,NaN,19.1,88,239
2022-01-09,3,3.1,35,999.6,NaN,13.0,85,253
2022-01-10,51,4.7,92,1015.0,NaN,9.0,94,185
2022-01-11,53,8.5,98,1026.5,NaN,9.7,96,200
2022-01-12,3,3.9,82,1037.4,NaN,5.5,97,308
2022-01-13,3,1.6,77,1038.5,NaN,6.3,93,241
2022-01-14,3,0.4,23,1033.6,NaN,5.9,93,352
2022-01-15,3,1.5,84,1023.9,NaN,7.8,94,190
2022-01-16,3,3.5,58,1023.8,NaN,8.8,96,258
2022-01-17,3,2.4,9,1034.4,NaN,7.3,92,260
2022-01-18,3,2.2,100,1034.6,NaN,5.5,96,190
2022-01-19,3,5.0,67,1025.0,NaN,12.1,90,267
2022-01-20,2,1.7,11,1032.3,NaN,11.3,82,335
2022-01-21,2,0.2,12,1036.2,NaN,9.1,86,277
2022-01-22,3,1.9,38,1034.6,NaN,8.8,91,279
2022-01-23,3,4.4,100,1032.6,NaN,4.4,88,201
2022-01-24,3,3.4,92,1030.8,NaN,5.1,87,87
2022-01-25,3,1.9,96,1031.6,NaN,5.6,87,305
2022-01-26,3,3.5,78,1030.1,NaN,11.6,86,251
2022-01-27,3,6.6,66,1025.5,NaN,16.2,88,262
2022-01-28,3,4.1,85,1031.4,NaN,12.4,91,244
2022-01-29,51,9.9,82,1025.4,NaN,23.6,84,264
2022-01-30,3,3.8,43,1027.5,NaN,11.3,82,250
2022-01-31,51,5.9,59,1020.2,NaN,24.1,67,299
2022-02-01,51,9.1,99,1019.0,NaN,21.8,81,270
2022-02-02,3,9.3,95,1019.5,NaN,16.0,86,263
2022-02-03,3,8.1,96,1012.2,NaN,14.9,85,241
2022-02-04,61,6.5,57,1008.2,NaN,22.9,80,253
2022-02-05,3,5.9,76,1015.9,NaN,23.1,79,243
2022-02-06,53,9.0,65,1004.8,NaN,33.0,75,263
2022-02-07,3,6.3,65,1021.8,NaN,16.4,78,256
2022-02-08,3,10.3,88,1023.9,NaN,22.9,80,243
2022-02-09,63,9.5,84,1020.9,NaN,15.4,86,237
2022-02-10,51,6.2,72,1019.7,NaN,11.8,79,273
2022-02-11,3,3.3,44,1028.4,NaN,8.6,81,237
2022-02-12,3,4.8,86,1019.9,NaN,19.2,77,203
2022-02-13,61,7.9,100,1000.0,NaN,28.8,85,193
2022-02-14,55,7.4,73,995.6,NaN,21.3,82,254
2022-02-15,61,6.4,76,1003.9,NaN,19.4,90,232
2022-02-16,61,12.5,92,993.6,NaN,32.3,84,242
2022-02-17,51,8.7,59,1004.7,NaN,25.2,68,255
2022-02-18,51,8.2,64,994.6,NaN,36.7,71,231
2022-02-19,61,5.4,60,1006.9,NaN,26.1,71,244
2022-02-20,61,9.6,89,1001.3,NaN,33.5,82,239
2022-02-21,51,7.0,52,1005.7,NaN,30.3,65,275
2022-02-22,51,8.4,60,1015.7,NaN,19.6,78,251
2022-02-23,51,6.4,48,1018.7,NaN,19.0,83,224
2022-02-24,61,6.2,60,1008.1,NaN,26.0,73,245
2022-02-25,2,5.7,12,1021.9,NaN,17.4,68,272
2022-02-26,3,4.6,26,1027.4,NaN,13.6,78,164
2022-02-27,1,5.1,2,1022.2,NaN,15.8,71,138
2022-02-28,61,8.6,78,1021.3,NaN,17.2,81,187
2022-03-01,61,8.2,100,1022.5,NaN,14.7,93,51
2022-03-02,53,6.4,98,1018.4,NaN,12.8,86,97
2022-03-03,51,8.4,100,1012.5,NaN,10.0,85,141
2022-03-04,53,7.3,98,1015.9,NaN,9.0,91,322
2022-03-05,53,5.9,97,1020.3,NaN,20.7,83,1
2022-03-06,51,4.5,84,1025.6,NaN,20.9,71,49
2022-03-07,3,4.2,57,1021.9,NaN,18.6,72,76
2022-03-08,3,5.3,19,1012.5,NaN,16.1,69,128
2022-03-09,51,9.1,86,1013.7,NaN,17.8,78,174
2022-03-10,3,10.9,66,1013.5,NaN,14.9,74,157
2022-03-11,61,9.9,73,1002.7,NaN,20.2,81,154
2022-03-12,55,9.1,71,1005.4,NaN,22.2,78,181
2022-03-13,51,8.5,91,1004.5,NaN,17.5,84,169
2022-03-14,53,6.9,59,1019.6,NaN,9.6,87,218
2022-03-15,3,8.5,71,1019.4,NaN,8.7,83,125
2022-03-16,61,9.6,97,1015.3,NaN,12.2,90,157
2022-03-17,2,7.1,14,1027.9,NaN,13.3,76,262
2022-03-18,3,7.9,17,1038.8,NaN,11.7,84,75
2022-03-19,0,9.1,0,1034.9,NaN,22.5,70,80
2022-03-20,51,6.8,7,1025.7,NaN,11.0,64,91
2022-03-21,3,7.4,17,1025.3,NaN,8.2,75,105
2022-03-22,51,11.0,21,1025.7,NaN,10.7,75,113
2022-03-23,3,10.6,21,1026.8,NaN,7.9,71,102
2022-03-24,1,10.0,3,1027.1,NaN,3.7,71,75
2022-03-25,2,8.8,6,1028.6,NaN,10.4,71,72
2022-03-26,0,9.4,1,1030.0,NaN,12.2,66,67
2022-03-27,3,8.2,59,1029.0,NaN,12.9,88,65
2022-03-28,51,8.5,60,1020.2,NaN,7.9,81,71
2022-03-29,51,9.4,98,1009.6,NaN,13.8,83,68
2022-03-30,61,7.8,98,1003.4,NaN,13.7,81,25
2022-03-31,51,3.8,44,1006.1,NaN,25.3,63,9
2022-04-01,71,3.7,19,1013.6,NaN,24.5,60,6
2022-04-02,71,3.2,27,1019.8,NaN,10.7,76,16
2022-04-03,51,3.5,54,1022.6,NaN,10.3,70,317
2022-04-04,53,8.9,99,1010.3,NaN,22.4,81,256
2022-04-05,51,11.0,94,1006.1,NaN,20.9,77,263
2022-04-06,53,10.5,85,994.9,NaN,28.8,77,232
2022-04-07,61,9.1,55,986.9,NaN,32.8,66,261
2022-04-08,71,5.9,97,998.0,NaN,8.3,73,335
2022-04-09,51,6.2,57,1012.1,NaN,10.9,69,287
2022-04-10,3,7.3,82,1016.2,NaN,8.1,68,176
2022-04-11,3,10.5,97,1007.7,NaN,16.4,63,111
2022-04-12,63,12.8,91,1003.3,NaN,13.9,78,178
2022-04-13,51,12.8,51,1012.5,NaN,13.8,79,228
2022-04-14,3,12.3,80,1019.1,NaN,7.3,80,242
2022-04-15,3,13.7,65,1023.6,NaN,4.9,76,215
2022-04-16,3,12.1,27,1027.0,NaN,10.5,76,89
2022-04-17,3,11.8,96,1020.2,NaN,11.0,65,142
2022-04-18,3,10.8,77,1014.5,NaN,8.3,69,255
2022-04-19,51,10.9,91,1013.5,NaN,11.8,70,23
2022-04-20,3,11.3,91,1013.4,NaN,16.0,64,56
2022-04-21,3,11.7,38,1009.8,NaN,17.4,66,65
2022-04-22,51,11.6,94,1005.1,NaN,23.2,67,60
2022-04-23,3,12.6,72,1000.8,NaN,23.7,70,53
2022-04-24,3,12.6,43,1005.1,NaN,19.2,61,41
2022-04-25,51,9.6,26,1012.9,NaN,14.0,73,31
2022-04-26,3,10.0,43,1019.1,NaN,12.5,64,39
2022-04-27,51,8.6,72,1024.6,NaN,12.8,70,60
2022-04-28,51,9.4,78,1028.1,NaN,11.1,71,63
2022-04-29,3,8.4,75,1028.9,NaN,11.8,70,40
2022-04-30,3,10.1,51,1026.6,NaN,6.9,67,18
2022-05-01,51,11.1,100,1020.9,NaN,9.8,72,230
2022-05-02,51,11.8,83,1018.3,NaN,3.9,75,222
2022-05-03,3,12.2,94,1018.4,NaN,7.5,77,44
2022-05-04,61,12.5,83,1016.4,NaN,11.2,82,244
2022-05-05,3,13.1,51,1020.7,NaN,9.8,73,304
2022-05-06,3,14.7,67,1022.3,NaN,12.5,74,256
2022-05-07,55,14.1,70,1022.7,NaN,10.8,80,20
2022-05-08,3,12.3,21,1026.0,NaN,12.9,73,77
2022-05-09,3,14.0,76,1020.8,NaN,13.7,70,184
2022-05-10,53,15.6,89,1012.3,NaN,19.3,71,230
2022-05-11,61,13.0,77,1007.6,NaN,19.9,83,225
2022-05-12,3,12.6,41,1015.1,NaN,15.0,70,249
2022-05-13,3,14.4,80,1016.8,NaN,19.7,67,250
2022-05-14,3,14.4,43,1018.1,NaN,7.2,72,220
2022-05-15,63,15.0,100,1012.8,NaN,12.7,81,81
2022-05-16,53,16.2,85,1011.4,NaN,17.8,77,220
2022-05-17,51,18.1,64,1014.8,NaN,12.6,70,174
2022-05-18,63,16.7,79,1016.2,NaN,12.0,68,199
2022-05-19,65,16.8,84,1015.3,NaN,11.2,71,255
2022-05-20,53,13.5,77,1015.9,NaN,14.3,75,236
2022-05-21,3,14.3,74,1017.8,NaN,13.9,69,254
2022-05-22,3,15.5,67,1011.0,NaN,7.8,71,202
2022-05-23,55,14.1,89,1000.1,NaN,9.7,75,266
2022-05-24,61,12.7,55,1003.0,NaN,13.6,74,258
2022-05-25,51,13.3,77,1010.4,NaN,20.6,75,238
2022-05-26,3,15.6,82,1018.0,NaN,22.0,75,254
2022-05-27,3,15.4,60,1021.3,NaN,15.5,64,301
2022-05-28,51,12.7,58,1022.2,NaN,11.7,64,3
2022-05-29,51,11.1,35,1016.7,NaN,12.2,67,16
2022-05-30,55,10.9,81,1011.0,NaN,10.1,77,206
2022-05-31,61,11.4,77,1009.6,NaN,10.9,78,244
2022-06-01,3,12.3,70,1014.1,NaN,7.5,72,301
2022-06-02,3,13.8,59,1017.3,NaN,10.2,72,94
2022-06-03,51,16.2,43,1015.1,NaN,15.9,66,66
2022-06-04,61,14.9,79,1017.2,NaN,24.7,70,60
2022-06-05,61,13.8,99,1012.9,NaN,11.9,84,19
2022-06-06,51,14.2,100,1011.6,NaN,11.8,82,262
2022-06-07,61,15.5,55,1009.0,NaN,8.9,80,208
2022-06-08,65,16.7,52,1002.9,NaN,18.4,74,249
2022-06-09,51,15.3,77,1012.1,NaN,16.2,76,237
2022-06-10,51,17.7,64,1015.5,NaN,20.3,71,226
2022-06-11,51,16.6,37,1018.6,NaN,18.2,70,238
2022-06-12,3,15.6,43,1020.5,NaN,15.3,67,267
2022-06-13,3,15.2,43,1021.7,NaN,8.9,64,286
2022-06-14,2,16.7,12,1018.4,NaN,7.8,67,188
2022-06-15,3,18.6,34,1015.8,NaN,6.4,64,159
2022-06-16,3,20.0,70,1018.7,NaN,7.7,60,222
2022-06-17,51,23.3,51,1017.1,NaN,15.1,52,219
2022-06-18,63,19.2,68,1014.8,NaN,14.5,74,17
2022-06-19,55,14.5,95,1012.2,NaN,15.8,70,27
2022-06-20,53,15.7,54,1015.6,NaN,14.0,66,40
2022-06-21,3,16.5,70,1012.3,NaN,7.2,67,88
2022-06-22,3,18.2,7,1010.9,NaN,11.0,64,75
2022-06-23,51,18.1,41,1007.1,NaN,9.2,70,63
2022-06-24,53,18.0,87,1002.0,NaN,19.4,72,207
2022-06-25,53,16.1,71,1004.8,NaN,20.6,68,198
2022-06-26,3,15.9,58,1009.3,NaN,20.0,62,203
2022-06-27,53,15.4,52,1013.1,NaN,16.8,66,233
2022-06-28,51,15.8,64,1014.9,NaN,17.1,66,201
2022-06-29,53,16.3,89,1009.6,NaN,15.0,71,186
2022-06-30,53,15.3,74,1009.1,NaN,11.3,73,214
2022-07-01,51,15.4,43,1013.5,NaN,17.7,70,233
2022-07-02,51,16.5,74,1015.5,NaN,20.0,69,219
