latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.059753,-118.2375,91.0,-25200,America/Los_Angeles,GMT-7

time,weather_code (wmo code),temperature_2m_mean (°C),cloud_cover_mean (%),surface_pressure_mean (hPa),visibility_mean (undefined),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°)
2022-01-01,2,8.6,24,1007.6,NaN,4.9,74,5
2022-01-02,0,8.3,0,1013.0,NaN,5.7,63,11
2022-01-03,3,9.7,18,1011.5,NaN,5.8,56,323
2022-01-04,3,8.2,52,1012.1,NaN,7.3,75,82
2022-01-05,1,10.8,3,1007.5,NaN,6.4,67,75
2022-01-06,2,14.1,9,1003.6,NaN,5.3,61,169
2022-01-07,3,11.1,43,1002.5,NaN,7.4,87,119
2022-01-08,3,11.9,80,1006.4,NaN,4.7,84,26
2022-01-09,3,11.3,39,1012.5,NaN,4.8,64,4
2022-01-10,3,12.0,98,1014.6,NaN,6.5,57,16
2022-01-11,1,12.1,4,1012.6,NaN,5.8,53,15
2022-01-12,3,14.2,67,1011.8,NaN,5.2,48,19
2022-01-13,3,15.6,99,1011.0,NaN,5.8,51,60
2022-01-14,3,15.2,89,1008.3,NaN,5.9,54,13
2022-01-15,61,13.1,98,1009.7,NaN,7.3,62,344
2022-01-16,3,15.7,88,1007.1,NaN,6.8,61,65
2022-01-17,63,14.2,94,1006.9,NaN,6.7,84,109
2022-01-18,53,13.6,49,1007.2,NaN,5.4,87,256
2022-01-19,3,12.8,44,1009.9,NaN,4.4,86,337
2022-01-20,0,13.3,0,1011.7,NaN,5.2,60,357
2022-01-21,2,13.9,6,1005.9,NaN,7.0,50,77
2022-01-22,1,13.8,4,1006.0,NaN,14.3,35,311
2022-01-23,0,13.6,0,1009.4,NaN,8.5,45,319
2022-01-24,0,13.1,0,1006.8,NaN,6.6,53,84
2022-01-25,3,13.1,27,1004.6,NaN,4.3,65,126
2022-01-26,3,11.9,32,1008.1,NaN,4.1,45,25
2022-01-27,0,11.8,0,1010.4,NaN,4.9,38,12
2022-01-28,3,13.3,69,1012.1,NaN,7.8,28,18
2022-01-29,3,12.3,80,1008.9,NaN,5.2,33,21
2022-01-30,1,12.1,3,1008.8,NaN,7.9,46,77
2022-01-31,3,12.0,89,1007.7,NaN,6.4,57,105
2022-02-01,3,12.4,45,1001.4,NaN,6.3,72,77
2022-02-02,0,11.2,0,1004.2,NaN,6.0,37,9
2022-02-03,2,11.4,8,1011.4,NaN,5.7,31,323
2022-02-04,0,12.1,0,1015.7,NaN,6.9,31,322
2022-02-05,1,11.5,2,1011.5,NaN,5.5,32,305
2022-02-06,0,13.9,0,1010.0,NaN,6.6,32,156
2022-02-07,0,14.6,0,1013.0,NaN,6.3,30,324
2022-02-08,3,15.5,40,1010.1,NaN,7.5,31,316
2022-02-09,0,18.1,0,1006.8,NaN,7.4,28,320
2022-02-10,0,20.0,0,1006.2,NaN,9.7,27,332
2022-02-11,0,18.7,0,1005.0,NaN,5.5,33,29
2022-02-12,0,19.8,2,1007.6,NaN,5.7,28,43
2022-02-13,2,20.5,6,1010.1,NaN,6.8,24,343
2022-02-14,3,17.2,29,1006.2,NaN,7.3,43,177
2022-02-15,53,12.5,86,999.7,NaN,13.7,73,115
2022-02-16,2,11.0,7,1003.8,NaN,9.2,63,123
2022-02-17,0,13.3,1,1012.2,NaN,7.3,47,298
2022-02-18,2,13.4,6,1011.7,NaN,6.3,37,351
2022-02-19,3,16.3,35,1007.2,NaN,6.7,37,294
2022-02-20,3,12.8,74,1004.1,NaN,8.5,78,165
2022-02-21,53,12.0,71,1003.3,NaN,9.3,71,175
2022-02-22,53,11.4,45,1003.3,NaN,17.0,62,232
2022-02-23,51,8.5,31,1004.3,NaN,10.5,51,324
2022-02-24,0,8.0,0,1012.4,NaN,6.1,39,307
2022-02-25,0,10.4,0,1011.3,NaN,5.8,35,327
