latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-37.785587,144.93976,19.0,36000,Australia/Melbourne,GMT+10

time,weather_code (wmo code),temperature_2m_mean (°C),cloud_cover_mean (%),surface_pressure_mean (hPa),visibility_mean (undefined),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°)
2022-01-01,51,26.2,48,1004.9,NaN,12.8,42,353
2022-01-02,3,22.4,60,1006.1,NaN,13.2,59,197
2022-01-03,51,18.1,47,1010.9,NaN,17.4,65,181
2022-01-04,51,20.3,91,1009.5,NaN,15.1,68,175
2022-01-05,65,22.2,82,1006.7,NaN,13.7,76,126
2022-01-06,63,22.8,72,1006.0,NaN,6.3,75,44
2022-01-07,61,21.5,67,1005.8,NaN,9.6,81,10
2022-01-08,53,18.4,92,1010.8,NaN,15.7,82,204
2022-01-09,3,18.7,48,1013.2,NaN,9.5,75,178
2022-01-10,3,20.6,56,1014.9,NaN,8.9,80,204
2022-01-11,3,22.4,54,1017.8,NaN,16.2,73,180
2022-01-12,3,22.6,59,1016.9,NaN,12.4,68,130
2022-01-13,53,25.2,59,1010.3,NaN,7.5,62,53
2022-01-14,61,23.8,56,1001.6,NaN,12.8,75,15
2022-01-15,53,20.1,84,1002.8,NaN,12.2,81,203
2022-01-16,51,21.8,53,1004.9,NaN,6.7,71,158
2022-01-17,51,19.8,77,1008.1,NaN,13.9,70,202
2022-01-18,51,18.2,99,1014.3,NaN,16.4,60,175
2022-01-19,3,20.3,13,1019.0,NaN,20.1,61,133
2022-01-20,0,20.8,0,1023.3,NaN,9.0,61,143
2022-01-21,0,23.3,0,1022.3,NaN,11.6,54,122
2022-01-22,0,24.9,1,1017.4,NaN,11.8,52,79
2022-01-23,3,25.9,27,1011.4,NaN,8.9,53,154
2022-01-24,3,27.0,87,1006.5,NaN,9.5,53,184
2022-01-25,3,26.0,37,1005.4,NaN,9.8,63,218
2022-01-26,3,27.7,52,1005.4,NaN,7.2,56,45
2022-01-27,51,27.7,73,1005.0,NaN,20.5,57,7
2022-01-28,65,24.5,70,1007.6,NaN,17.7,71,322
2022-01-29,65,20.1,100,1014.3,NaN,14.6,80,177
2022-01-30,51,22.3,48,1011.0,NaN,7.0,79,155
2022-01-31,3,24.9,22,1003.7,NaN,6.4,70,323
