latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,51.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),temperature_2m_mean (°C),cloud_cover_mean (%),surface_pressure_mean (hPa),visibility_mean (undefined),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°)
2022-01-01,63,9.5,100,1002.7,NaN,7.0,99,168
2022-01-02,65,9.5,100,998.4,NaN,14.8,88,315
2022-01-03,73,-1.3,88,1012.8,NaN,21.3,51,359
2022-01-04,3,-3.2,26,1021.5,NaN,11.9,52,292
2022-01-05,51,1.9,89,1008.7,NaN,13.4,86,217
2022-01-06,3,1.8,82,1004.9,NaN,13.1,63,268
2022-01-07,75,-1.8,55,1005.9,NaN,19.2,73,314
2022-01-08,1,-6.0,5,1026.2,NaN,12.1,72,276
2022-01-09,53,0.3,95,1017.4,NaN,17.1,85,221
2022-01-10,3,-1.5,33,1013.3,NaN,20.6,55,295
2022-01-11,2,-7.1,9,1024.1,NaN,17.9,40,317
2022-01-12,3,-2.1,58,1017.1,NaN,15.3,55,214
2022-01-13,3,0.9,88,1009.5,NaN,6.8,75,226
2022-01-14,3,1.5,86,1003.5,NaN,22.3,74,358
2022-01-15,3,-8.1,45,1017.1,NaN,15.7,37,344
2022-01-16,75,-6.7,57,1019.0,NaN,14.9,56,33
2022-01-17,71,3.4,94,984.1,NaN,29.1,81,188
2022-01-18,3,-1.0,46,1004.3,NaN,21.5,56,294
2022-01-19,3,1.6,80,1012.1,NaN,15.0,70,210
2022-01-20,73,0.7,84,1014.1,NaN,17.5,69,315
2022-01-21,3,-8.2,87,1026.6,NaN,19.9,47,3
2022-01-22,3,-6.9,42,1021.4,NaN,12.0,51,2
2022-01-23,71,-2.3,65,1007.0,NaN,10.5,48,243
2022-01-24,71,-1.4,93,1005.2,NaN,7.5,72,278
2022-01-25,3,1.4,64,1007.7,NaN,10.3,67,270
2022-01-26,0,-5.3,0,1020.6,NaN,15.4,49,330
2022-01-27,3,-5.3,16,1023.0,NaN,8.9,52,177
2022-01-28,73,-1.3,100,1013.7,NaN,8.1,70,262
2022-01-29,75,-8.5,98,1000.9,NaN,30.6,71,337
2022-01-30,3,-10.4,26,1009.1,NaN,15.4,64,289
2022-01-31,3,-10.8,36,1020.6,NaN,8.3,72,22
2022-02-01,3,-7.4,34,1027.0,NaN,10.2,77,31
2022-02-02,3,-1.3,96,1024.1,NaN,7.2,93,88
2022-02-03,61,4.9,100,1017.2,NaN,9.5,99,193
2022-02-04,71,4.0,100,1007.0,NaN,20.7,93,313
2022-02-05,71,-4.2,43,1017.5,NaN,20.8,54,322
2022-02-06,3,-5.5,32,1029.0,NaN,9.7,57,76
2022-02-07,73,-0.2,97,1019.2,NaN,11.0,88,7
2022-02-08,61,2.6,40,1007.8,NaN,16.3,73,301
2022-02-09,0,0.1,1,1011.2,NaN,11.9,68,200
2022-02-10,51,4.1,27,1005.6,NaN,14.6,69,243
2022-02-11,2,4.4,18,1008.4,NaN,14.1,64,187
2022-02-12,3,9.8,82,1007.8,NaN,18.4,50,251
2022-02-13,73,0.0,100,1013.5,NaN,13.8,73,10
2022-02-14,3,-7.0,13,1015.0,NaN,19.0,51,317
2022-02-15,3,-5.4,5,1029.6,NaN,9.8,44,279
2022-02-16,3,0.7,65,1030.5,NaN,13.7,71,186
2022-02-17,61,11.1,100,1013.9,NaN,25.4,73,202
2022-02-18,63,6.8,49,1000.6,NaN,29.1,64,261
2022-02-19,71,-1.6,29,1010.4,NaN,20.2,54,262
2022-02-20,3,-2.7,22,1022.9,NaN,16.0,44,253
2022-02-21,3,2.7,29,1020.6,NaN,11.7,69,193
2022-02-22,61,8.2,95,1017.0,NaN,16.9,85,178
2022-02-23,51,13.3,86,1009.6,NaN,23.0,73,258
2022-02-24,3,-0.3,99,1023.8,NaN,13.8,47,13
2022-02-25,73,1.1,84,1014.4,NaN,17.2,77,348
2022-02-26,3,-2.0,72,1022.2,NaN,15.0,55,310
2022-02-27,3,1.5,16,1010.8,NaN,19.8,53,261
2022-02-28,3,-1.4,35,1017.3,NaN,15.4,48,332
