latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.822495,2.2881355,43.0,7200,Europe/Paris,GMT+2

time,weather_code (wmo code),temperature_2m_mean (°C),cloud_cover_mean (%),surface_pressure_mean (hPa),visibility_mean (undefined),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°)
2022-01-01,3,9.6,88,1019.1,NaN,11.9,90,178
2022-01-02,55,11.8,92,1013.6,NaN,20.3,79,221
2022-01-03,61,11.2,100,1010.6,NaN,21.9,86,223
2022-01-04,63,9.1,100,996.6,NaN,17.6,90,251
2022-01-05,51,3.4,19,1008.2,NaN,15.0,79,286
2022-01-06,51,2.4,56,1015.9,NaN,9.1,83,234
2022-01-07,71,5.3,79,1010.8,NaN,22.5,82,233
2022-01-08,61,6.0,90,1004.3,NaN,21.8,90,238
2022-01-09,55,4.9,75,1000.2,NaN,18.1,85,273
2022-01-10,3,2.9,94,1014.1,NaN,7.1,94,134
2022-01-11,3,0.1,36,1027.1,NaN,6.9,92,148
2022-01-12,3,0.6,85,1033.9,NaN,4.5,91,22
2022-01-13,3,2.5,70,1035.8,NaN,8.4,94,42
2022-01-14,0,1.1,0,1030.8,NaN,6.7,90,98
2022-01-15,3,0.8,71,1022.9,NaN,4.7,95,208
2022-01-16,53,2.0,95,1024.4,NaN,12.5,92,233
2022-01-17,51,5.4,81,1031.6,NaN,6.5,93,292
2022-01-18,3,3.9,65,1031.4,NaN,9.8,92,66
2022-01-19,55,4.4,89,1023.7,NaN,9.9,92,257
2022-01-20,51,3.9,47,1026.9,NaN,12.4,89,335
2022-01-21,3,2.8,71,1032.3,NaN,10.3,89,340
2022-01-22,3,4.1,98,1032.2,NaN,6.9,85,322
2022-01-23,51,4.0,98,1030.1,NaN,7.7,84,74
2022-01-24,1,1.7,2,1026.9,NaN,7.0,91,75
2022-01-25,3,-0.1,88,1028.4,NaN,3.8,98,286
2022-01-26,3,1.2,100,1030.0,NaN,6.1,95,220
2022-01-27,51,3.8,98,1027.1,NaN,13.4,89,227
2022-01-28,51,5.4,92,1031.2,NaN,7.7,92,252
2022-01-29,51,8.4,100,1028.2,NaN,17.3,89,250
2022-01-30,51,8.1,80,1026.5,NaN,7.9,83,302
2022-01-31,51,6.5,71,1018.1,NaN,23.3,69,303
2022-02-01,51,6.2,87,1020.2,NaN,18.0,85,267
2022-02-02,51,9.7,99,1019.8,NaN,16.1,85,282
2022-02-03,3,6.7,100,1014.9,NaN,11.8,87,227
2022-02-04,53,7.2,70,1011.5,NaN,17.2,85,239
2022-02-05,3,5.6,41,1019.7,NaN,14.9,78,251
2022-02-06,53,8.5,100,1011.8,NaN,30.6,83,241
2022-02-07,51,6.7,38,1021.2,NaN,14.1,73,289
2022-02-08,3,8.4,94,1027.2,NaN,10.5,83,234
2022-02-09,3,5.5,58,1022.3,NaN,5.1,89,200
2022-02-10,53,7.1,96,1018.9,NaN,13.9,86,252
