latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-33.848858,151.19551,51.0,36000,Australia/Sydney,GMT+10

time,weather_code (wmo code),temperature_2m_mean (°C),cloud_cover_mean (%),surface_pressure_mean (hPa),visibility_mean (undefined),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°)
2022-01-01,51,22.8,60,1006.6,NaN,17.2,73,35
2022-01-02,1,23.2,5,1003.8,NaN,17.0,77,37
2022-01-03,1,22.9,15,1004.3,NaN,10.8,72,121
2022-01-04,51,23.0,46,1004.9,NaN,13.7,72,144
2022-01-05,65,22.0,85,1005.4,NaN,13.1,87,110
2022-01-06,53,23.3,67,1007.0,NaN,23.9,80,53
2022-01-07,65,23.5,93,1005.9,NaN,27.1,83,40
2022-01-08,61,23.5,69,1004.1,NaN,12.5,85,56
2022-01-09,55,22.1,87,1009.4,NaN,15.2,88,156
2022-01-10,51,24.0,50,1011.9,NaN,14.0,85,51
2022-01-11,61,23.9,67,1012.4,NaN,13.9,84,55
2022-01-12,61,22.7,76,1012.8,NaN,13.4,80,149
2022-01-13,63,21.6,68,1010.9,NaN,6.7,88,148
2022-01-14,51,23.1,86,1004.0,NaN,10.7,82,38
2022-01-15,61,24.3,60,998.9,NaN,10.1,80,18
2022-01-16,3,23.5,37,1001.9,NaN,12.8,86,174
2022-01-17,3,23.9,91,1004.2,NaN,8.0,86,37
2022-01-18,61,22.1,100,1006.5,NaN,15.9,91,175
2022-01-19,61,20.4,99,1013.2,NaN,24.8,81,169
2022-01-20,53,20.9,44,1020.2,NaN,23.9,70,141
2022-01-21,53,20.8,69,1021.2,NaN,14.2,73,122
2022-01-22,51,20.6,53,1016.5,NaN,12.4,77,155
2022-01-23,53,20.5,56,1010.9,NaN,9.8,84,154
2022-01-24,53,21.2,100,1006.8,NaN,9.0,83,127
2022-01-25,51,21.2,63,1005.1,NaN,8.8,80,53
2022-01-26,51,21.8,49,1007.4,NaN,10.0,74,64
2022-01-27,51,22.7,67,1009.1,NaN,13.8,71,45
2022-01-28,3,24.0,32,1009.1,NaN,18.0,72,39
2022-01-29,3,24.0,70,1009.0,NaN,15.5,77,43
2022-01-30,51,23.8,70,1008.1,NaN,11.6,79,58
2022-01-31,51,23.4,57,1003.0,NaN,8.0,84,70
2022-02-01,53,25.6,46,995.8,NaN,5.5,79,354
2022-02-02,63,21.1,100,999.0,NaN,20.6,85,180
2022-02-03,55,19.2,71,1002.2,NaN,26.8,74,192
2022-02-04,61,19.2,63,1009.2,NaN,24.9,67,172
2022-02-05,53,20.4,56,1012.8,NaN,22.0,61,151
2022-02-06,55,20.3,59,1016.1,NaN,22.9,67,149
2022-02-07,53,19.6,64,1014.8,NaN,18.0,74,168
2022-02-08,63,19.2,47,1009.2,NaN,10.8,80,189
2022-02-09,3,22.0,15,1004.9,NaN,8.8,69,1
2022-02-10,53,23.0,30,1005.8,NaN,9.6,72,84
2022-02-11,53,21.5,67,1010.0,NaN,19.0,80,174
2022-02-12,53,20.2,67,1012.3,NaN,13.8,76,153
2022-02-13,53,20.7,57,1015.5,NaN,9.8,72,76
2022-02-14,51,21.7,52,1017.7,NaN,14.0,73,32
2022-02-15,51,21.9,15,1016.9,NaN,12.8,75,40
2022-02-16,51,21.8,26,1011.7,NaN,12.8,77,34
2022-02-17,53,23.2,55,1003.9,NaN,8.5,78,27
2022-02-18,53,22.7,56,1005.0,NaN,12.4,83,139
2022-02-19,53,21.4,81,1012.6,NaN,13.3,71,126
2022-02-20,51,22.7,18,1004.8,NaN,14.1,77,25
2022-02-21,51,23.9,70,1002.8,NaN,12.4,72,140
2022-02-22,63,21.0,100,1010.6,NaN,11.6,90,129
2022-02-23,61,22.4,87,1012.3,NaN,10.0,86,89
2022-02-24,63,22.4,98,1011.0,NaN,9.3,90,57
2022-02-25,61,21.9,100,1009.0,NaN,7.3,89,82
2022-02-26,63,20.7,100,1009.2,NaN,11.0,91,103
2022-02-27,55,21.3,100,1008.1,NaN,7.3,88,76
2022-02-28,55,22.0,100,1007.6,NaN,12.7,83,68
2022-03-01,63,20.9,89,1005.9,NaN,17.0,87,102
2022-03-02,63,20.4,100,1004.1,NaN,17.6,90,103
2022-03-03,65,21.3,99,1003.2,NaN,21.7,88,156
2022-03-04,61,22.5,76,1004.4,NaN,15.7,88,157
2022-03-05,55,22.6,86,1000.5,NaN,8.6,88,29
2022-03-06,63,22.0,99,1000.3,NaN,17.6,90,159
2022-03-07,65,22.5,100,1002.1,NaN,16.5,90,120
2022-03-08,65,20.7,100,999.2,NaN,22.6,91,193
2022-03-09,61,20.2,78,1004.3,NaN,27.6,71,215
2022-03-10,2,18.7,29,1011.2,NaN,15.6,68,196
2022-03-11,51,18.7,33,1013.4,NaN,10.6,75,171
2022-03-12,51,19.5,46,1016.3,NaN,9.3,74,69
2022-03-13,51,19.3,66,1017.0,NaN,6.8,83,74
2022-03-14,53,19.9,43,1015.6,NaN,9.0,82,132
2022-03-15,51,21.3,50,1015.5,NaN,11.5,66,119
2022-03-16,61,20.2,81,1013.8,NaN,6.7,85,70
2022-03-17,51,21.2,86,1011.0,NaN,7.8,86,18
2022-03-18,61,22.1,67,1010.4,NaN,6.7,83,146
2022-03-19,53,20.0,78,1012.7,NaN,16.3,81,175
2022-03-20,3,19.2,38,1010.9,NaN,11.2,75,219
2022-03-21,51,20.0,49,1009.9,NaN,11.3,77,184
2022-03-22,3,20.4,52,1005.0,NaN,10.6,82,12
2022-03-23,51,20.9,92,1004.1,NaN,16.8,78,168
2022-03-24,65,19.2,100,1010.0,NaN,8.0,84,96
2022-03-25,53,19.2,97,1012.8,NaN,9.5,84,140
2022-03-26,61,19.1,90,1015.0,NaN,8.7,82,132
2022-03-27,63,19.5,96,1011.9,NaN,7.7,85,119
2022-03-28,63,20.1,98,1007.1,NaN,7.1,91,178
2022-03-29,61,19.8,100,1005.5,NaN,6.8,93,210
2022-03-30,53,20.0,91,1004.1,NaN,19.7,88,186
2022-03-31,61,18.3,80,1008.1,NaN,29.4,78,196
2022-04-01,61,16.3,94,1009.4,NaN,29.3,75,216
2022-04-02,51,17.3,69,1006.7,NaN,18.9,67,254
2022-04-03,3,18.3,51,1005.8,NaN,12.1,61,310
2022-04-04,3,18.5,19,1006.8,NaN,9.2,62,300
2022-04-05,51,18.5,8,1009.2,NaN,10.1,77,219
2022-04-06,63,18.1,89,1011.2,NaN,13.4,92,155
2022-04-07,63,18.4,100,1013.7,NaN,19.3,88,92
2022-04-08,53,19.8,79,1016.1,NaN,15.5,74,95
2022-04-09,53,19.5,67,1016.7,NaN,11.4,80,55
2022-04-10,61,18.6,41,1014.0,NaN,6.0,87,13
2022-04-11,51,19.9,40,1011.3,NaN,11.6,84,217
