latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
35.676624,139.69112,40.0,32400,Asia/Tokyo,GMT+9

time,weather_code (wmo code),temperature_2m_mean (°C),cloud_cover_mean (%),surface_pressure_mean (hPa),visibility_mean (undefined),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°)
2022-01-01,0,1.4,3,1014.5,NaN,26.4,41,323
2022-01-02,3,1.4,30,1015.7,NaN,12.5,67,346
2022-01-03,3,4.0,19,1012.1,NaN,14.3,63,341
2022-01-04,51,2.4,7,1008.4,NaN,18.8,68,346
2022-01-05,3,2.1,21,1016.6,NaN,27.6,48,345
2022-01-06,75,-1.0,95,1018.1,NaN,12.8,79,339
2022-01-07,0,0.1,2,1015.1,NaN,22.0,64,350
2022-01-08,2,3.5,28,1017.1,NaN,12.2,61,351
2022-01-09,3,3.5,45,1012.3,NaN,9.0,71,333
2022-01-10,3,5.1,85,1013.9,NaN,13.5,76,360
2022-01-11,63,4.4,94,1001.4,NaN,12.6,89,333
2022-01-12,2,3.1,9,998.1,NaN,19.5,55,329
2022-01-13,3,3.3,51,997.6,NaN,19.2,58,306
2022-01-14,1,2.5,7,1003.7,NaN,24.1,45,310
2022-01-15,3,2.9,58,1013.0,NaN,17.7,55,328
2022-01-16,0,2.8,1,1012.6,NaN,10.5,77,350
2022-01-17,51,3.6,54,1007.0,NaN,11.7,72,328
2022-01-18,3,2.2,26,1007.3,NaN,20.3,54,336
2022-01-19,3,2.1,53,1012.1,NaN,12.1,55,333
2022-01-20,3,1.6,47,1007.9,NaN,21.1,63,331
2022-01-21,2,1.2,17,1015.4,NaN,25.6,47,328
2022-01-22,3,2.5,21,1019.8,NaN,13.4,54,329
2022-01-23,51,3.3,91,1016.0,NaN,11.9,70,337
2022-01-24,51,4.8,62,1009.6,NaN,17.5,69,1
2022-01-25,51,3.1,64,1015.0,NaN,9.2,68,51
2022-01-26,3,4.5,62,1011.2,NaN,11.9,78,350
2022-01-27,3,5.3,68,1011.1,NaN,23.0,59,340
2022-01-28,3,5.1,73,1010.1,NaN,13.7,54,354
2022-01-29,3,3.3,70,1007.3,NaN,12.2,64,32
2022-01-30,3,2.9,76,1008.0,NaN,17.7,58,340
2022-01-31,3,3.3,29,1009.8,NaN,22.0,45,351
2022-02-01,1,2.8,6,1010.6,NaN,9.6,58,352
2022-02-02,3,3.6,22,1011.8,NaN,16.7,56,327
2022-02-03,3,3.0,56,1010.1,NaN,11.3,58,337
2022-02-04,3,3.1,61,1007.8,NaN,8.5,62,25
2022-02-05,71,2.2,27,1003.9,NaN,20.7,52,336
2022-02-06,3,0.9,61,1009.0,NaN,12.9,49,329
2022-02-07,3,2.3,32,1015.8,NaN,13.6,47,332
2022-02-08,51,3.4,87,1017.0,NaN,10.4,66,359
2022-02-09,3,4.3,51,1018.5,NaN,15.1,61,23
2022-02-10,75,1.4,100,1014.1,NaN,21.9,93,342
2022-02-11,73,3.3,56,1014.8,NaN,17.6,77,17
2022-02-12,3,3.0,48,1018.5,NaN,8.2,70,318
2022-02-13,73,1.9,77,1016.3,NaN,13.2,87,353
2022-02-14,73,3.4,59,1012.9,NaN,14.8,79,19
2022-02-15,3,3.7,45,1008.8,NaN,12.0,82,294
2022-02-16,73,4.1,17,1001.6,NaN,10.3,72,336
2022-02-17,3,2.2,62,1004.7,NaN,16.5,47,313
